Date,Price,DMA50,DMA200,Volume,Delivery %
2025-05-05,3454.30,3549.42,3872.70,1332175,56.0
2025-05-06,3460.00,3545.91,3868.60,1413092,62.0
2025-05-07,3445.10,3541.96,3864.38,1517131,64.0
2025-05-08,3448.90,3538.31,3860.25,2596193,59.0
2025-05-09,3440.30,3534.46,3856.07,2582129,62.0
2025-05-12,3620.40,3537.83,3853.73,2401213,53.0
2025-05-13,3515.00,3536.94,3850.35,3193657,57.0
2025-05-14,3548.70,3537.40,3847.35,2177926,65.0
2025-05-15,3579.90,3539.07,3844.69,3665539,47.0
2025-05-16,3561.30,3539.94,3841.87,1906590,
2025-05-19,3518.80,3539.11,3838.66,2739682,60.0
2025-05-20,3498.30,3537.51,3835.27,2314653,56.0
2025-05-21,3525.80,3537.05,3832.19,1529645,65.0
2025-05-22,3477.00,3534.70,3828.66,2121418,48.0
2025-05-23,3514.60,3533.91,3825.53,1330362,52.0
2025-05-26,3537.30,3534.04,3822.66,1087812,51.0
2025-05-27,3498.70,3532.65,3819.44,3012954,44.0
2025-05-28,3497.70,3531.28,3816.24,1267129,62.0
2025-05-29,3498.10,3529.98,3813.07,3248595,50.0
2025-05-30,3463.40,3527.37,3809.59,3459818,73.0
2025-06-02,3449.80,3524.33,3806.01,2040800,
